GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LogInSample,DBAccess,Connector,11,7,1,1,3,4,2,2,1,2
LogInSample,DBAccess,UserMapper,17,89,0,2,5,26,1,3,1,2
LogInSample,FunctionLayer,LoginSampleException,0,4,0,0,0,2,0,1,0,1
LogInSample,FunctionLayer,LogicFacade,18,0,0,0,5,0,3,0,3,0
LogInSample,FunctionLayer,User,15,25,0,0,7,10,4,5,4,5
LogInSample,PresentationLayer,Register,50,0,2,0,11,0,3,0,2,0
LogInSample,PresentationLayer,FrontController,52,0,0,0,14,0,5,0,5,0
LogInSample,PresentationLayer,UnknownCommand,10,0,0,0,3,0,2,0,2,0
LogInSample,PresentationLayer,Command,37,0,2,0,9,0,4,0,3,0
LogInSample,PresentationLayer,Login,37,0,0,0,8,0,2,0,2,0
